DATE,IH.CFE,IF.CFE,IC.CFE,TF.CFE,T.CFE,AU.SHF,AG.SHF,CU.SHF,AL.SHF,ZN.SHF,NI.SHF,SN.SHF,PB.SHF,RB.SHF,HC.SHF,I.DCE,JM.DCE,J.DCE,ZC.CZC,RU.SHF,BU.SHF,TA.CZC,MA.CZC,PP.DCE,L.DCE,V.DCE,FG.CZC,SR.CZC,CF.CZC,OI.CZC,RM.CZC,A.DCE,M.DCE,Y.DCE,P.DCE,C.DCE,CS.DCE,JD.DCE,num
2005/1/4,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,0,,,0,0,,,0,,,7
2005/1/5,,,,,,,,-0.020159834,-0.014424835,,,,,,,,,,,0.00166182,,,,,,,,,0.00603745,,,0.002331003,0.001858737,,,0.005226493,,,7
2005/1/6,,,,,,,,0.017003598,0.005669307,,,,,,,,,,,0.003315378,,,,,,,,,0.017502436,,,0.003486349,0.006017144,,,0.002603038,,,7
2005/1/7,,,,,,,,-0.001757779,0.000627944,,,,,,,,,,,-0.007058364,,,,,,,,,-0.003555208,,,0.010769335,0.006898165,,,0.003460211,,,7
2005/1/10,,,,,,,,-0.009545768,-0.003773589,,,,,,,,,,,0.000832986,,,,,,,,,0,,,-0.001531394,-0.002294105,,,-0.002594035,,,7
2005/1/11,,,,,,,,0.012707548,0.010031432,,,,,,,,,,,-0.003336117,,,,,,,,,-0.001584159,,,0.004205703,0.003668046,,,0,,,7
2005/1/12,,,,,,,,0.013586692,0,,,,,,,,,,,0.020670434,,,,,,,,,0.004744967,,,-0.001909491,-0.005507127,,,0.001730104,,,7
2005/1/13,,,,,,,,-0.003119046,0.000623636,,,,,,,,,,,-0.004100047,,,,,,,,,0.006291802,,,-0.002679427,-0.003226553,,,-0.001730104,,,7
2005/1/14,,,,,,,,-0.000347162,-0.001247661,,,,,,,,,,,-0.000410931,,,,,,,,,0.001175318,,,-0.0061515,-0.006484506,,,0.000865426,,,7
2005/1/17,,,,,,,,0.016870774,0.00498133,,,,,,,,,,,-0.013656326,,,,,,,,,-0.00235202,,,-0.003863992,-0.003724399,,,0,,,7
2005/1/18,,,,,,,,-0.001366587,-0.00498133,,,,,,,,,,,-0.000416753,,,,,,,,,0.00235202,,,0.004249572,0.001863933,,,0,,,7
2005/1/19,,,,,,,,0.011556893,0.002493767,,,,,,,,,,,0.000416753,,,,,,,,,0.004687509,,,-0.000385579,0,,,0.001728609,,,7
2005/1/20,,,,,,,,-0.000676133,0.001244555,,,,,,,,,,,0.001665279,,,,,,,,,0.005828655,,,-0.004638586,-0.004666364,,,-0.001728609,,,7
2005/1/21,,,,,,,,0.014437048,0.003724399,,,,,,,,,,,0.007872425,,,,,,,,,-0.001939112,,,-0.001550989,-0.000935892,,,0,,,7
2005/1/24,,,,,,,,0.020456009,0.011703244,,,,,,,,,,,-0.004964843,,,,,,,,,0.006963278,,,0.003872972,0.008855802,,,0.000864678,,,7
2005/1/25,,,,,,,,-0.00130719,-0.004295803,,,,,,,,,,,-0.002075982,,,,,,,,,0.004999049,,,-0.004261095,-0.007919911,,,0.000863931,,,7
2005/1/26,,,,,,,,-0.016485701,-0.008027212,,,,,,,,,,,-0.0020803,,,,,,,,,-0.001897174,,,0.002326484,0.003734832,,,-0.000863931,,,7
2005/1/27,,,,,,,,0.017792891,0.003095019,,,,,,,,,,,0.00291121,,,,,,,,,0.000759301,,,-0.001162566,-0.002799815,,,-0.001730104,,,7
2005/1/28,,,,,,,,-0.000337667,0.003701423,,,,,,,,,,,0.004144225,,,,,,,,,-0.014141264,,,-0.010132589,-0.010805837,,,-0.001733103,,,7
2005/1/31,,,,,,,,-0.004739345,-0.001848999,,,,,,,,,,,0.001652893,,,,,,,,,0.007286705,,,-0.009049836,-0.012835926,,,-0.004345943,,,7
2005/2/1,,,,,,,,0.002710947,0.001848999,,,,,,,,,,,0.002474228,,,,,,,,,0.007233993,,,0.003551,0.003820444,,,-0.00174368,,,7
2005/2/2,,,,,,,,-0.003050333,0.001230769,,,,,,,,,,,0.012280138,,,,,,,,,-0.002659071,,,-0.004341826,-0.005256882,,,-0.000872981,,,7
2005/2/3,,,,,,,,-0.018500014,-0.005550431,,,,,,,,,,,0.005679528,,,,,,,,,0.004175371,,,0.003553804,0.004303138,,,0.003487362,,,7
2005/2/4,,,,,,,,0.012029703,0.004309025,,,,,,,,,,,0.005647453,,,,,,,,,0.001514005,,,-0.000788644,-0.001432323,,,0.000869944,,,7
2005/2/16,,,,,,,,0.024300892,0.006123718,,,,,,,,,,,0.010404256,,,,,,,,,0.014269863,,,0.020305266,0.022674566,,,0.003472226,,,7
2005/2/17,,,,,,,,0.009953632,0,,,,,,,,,,,-0.009600074,,,,,,,,,0.002234638,,,0.003087613,0.006981643,,,-0.000866927,,,7
2005/2/18,,,,,,,,0.022846947,0.004872117,,,,,,,,,,,-0.004323056,,,,,,,,,0.005194817,,,0.006529695,0.014276089,,,-0.001736112,,,7
2005/2/21,,,,,,,,-0.003232065,-0.001824263,,,,,,,,,,,0.000393778,,,,,,,,,-0.00780238,,,0.00458366,0.016326893,,,0.001736112,,,7
2005/2/22,,,,,,,,0.009344357,0.000608458,,,,,,,,,,,0.017948199,,,,,,,,,0.010758776,,,0.015879351,0.031003369,,,0.006914461,,,7
2005/2/23,,,,,,,,-0.011288622,0,,,,,,,,,,,-0.003098376,,,,,,,,,0.012103577,,,0.001499251,0.006520345,,,-0.003451255,,,7
2005/2/24,,,,,,,,0.013211083,0.003642991,,,,,,,,,,,0.015778661,,,,,,,,,0.000728863,,,0.011173301,0.021856452,,,0.001727116,,,7
2005/2/25,,,,,,,,-0.012886776,-0.00790999,,,,,,,,,,,0.004951448,,,,,,,,,-0.001458258,,,-0.008555008,-0.014087746,,,-0.002591794,,,7
2005/2/28,,,,,,,,0.021174997,0.004875086,,,,,,,,,,,0.003792193,,,,,,,,,0.008717818,,,0.040268984,0.040443591,,,0.024777004,,,7
2005/3/1,,,,,,,,-0.00584987,-0.002434572,,,,,,,,,,,-0.008743641,,,,,,,,,0.001084403,,,0.00071736,0.018814461,,,-0.011031083,,,7
2005/3/2,,,,,,,,-0.004573677,0.000609199,,,,,,,,,,,0.009500356,,,,,,,,,0.000722282,,,0.022337394,0.036599152,,,0.005106394,,,7
